step,time,object_id,shape,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,quat_w,quat_x,quat_y,quat_z
132,2.199999,0,1,5.629944,25.272739,0.000000,18.474163,-11.606921,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
133,2.216665,0,1,5.933342,25.058165,0.000000,18.307638,-12.459112,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
134,2.233332,0,1,6.232938,24.829004,0.000000,18.101229,-13.328195,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
135,2.249999,0,1,6.528061,24.584969,0.000000,17.854481,-14.214563,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
136,2.266665,0,1,6.818007,24.325769,0.000000,17.566044,-15.118350,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
137,2.283332,0,1,7.102010,24.051147,0.000000,17.233374,-16.038895,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
138,2.299999,0,1,7.379240,23.760874,0.000000,16.852409,-16.973972,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
139,2.316665,0,1,7.648741,23.454844,0.000000,16.417263,-17.918823,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
140,2.333332,0,1,7.909419,23.133116,0.000000,15.920173,-18.864790,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
141,2.349998,0,1,8.160011,22.796028,0.000000,15.351870,-19.798155,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
142,2.366665,0,1,8.399094,22.444283,0.000000,14.702763,-20.699469,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
143,2.383332,0,1,8.625132,22.079025,0.000000,13.965138,-21.544531,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
144,2.399998,0,1,8.836588,21.701832,0.000000,13.136163,-22.307652,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
145,2.416665,0,1,9.032061,21.314608,0.000000,12.220435,-22.966995,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
146,2.433332,0,1,9.210433,20.919394,0.000000,11.230641,-23.509863,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
147,2.449998,0,1,9.370950,20.518141,0.000000,10.185336,-23.935171,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
148,2.466665,0,1,9.513211,20.112572,0.000000,9.104856,-24.251770,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
149,2.483332,0,1,9.637097,19.704128,0.000000,8.007507,-24.474010,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
150,2.499998,0,1,9.742691,19.293991,0.000000,6.907464,-24.617138,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
151,2.516665,0,1,9.830191,18.883142,0.000000,5.814426,-24.694149,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
152,2.533332,0,1,9.899869,18.472441,0.000000,4.734474,-24.714424,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
153,2.549998,0,1,9.952031,18.062687,0.000000,3.671280,-24.683640,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
154,2.566665,0,1,9.987015,17.654663,0.000000,2.627271,-24.604313,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
155,2.583332,0,1,10.005191,17.249168,0.000000,1.604474,-24.476564,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
156,2.599998,0,1,10.006967,16.847044,0.000000,0.605138,-24.298904,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
157,2.616665,0,1,9.992802,16.449177,0.000000,-0.367893,-24.068964,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
158,2.633332,0,1,9.963226,16.056498,0.000000,-1.311030,-23.784151,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
159,2.649998,0,1,9.918843,15.669971,0.000000,-2.219949,-23.442284,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
160,2.666665,0,1,9.860345,15.290572,0.000000,-3.089756,-23.042213,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
161,2.683331,0,1,9.788509,14.919250,0.000000,-3.915335,-22.584492,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
162,2.699998,0,1,9.704188,14.556889,0.000000,-4.691882,-22.072105,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
163,2.716665,0,1,9.608294,14.204237,0.000000,-5.415660,-21.511332,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
164,2.733331,0,1,9.501742,13.861833,0.000000,-6.085050,-20.912699,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
165,2.749998,0,1,9.385391,13.529913,0.000000,-6.701876,-20.291937,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
166,2.766665,0,1,9.259944,13.208305,0.000000,-7.272902,-19.670696,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
167,2.783331,0,1,9.125828,12.896338,0.000000,-7.811267,-19.076406,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
168,2.799998,0,1,8.983078,12.592788,0.000000,-8.337111,-18.540276,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
169,2.816665,0,1,8.831245,12.295947,0.000000,-8.876468,-18.092617,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
170,2.833331,0,1,8.669389,12.003806,0.000000,-9.457696,-17.755590,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
171,2.849998,0,1,8.496174,11.714377,0.000000,-10.105919,-17.535778,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
172,2.866665,0,1,8.310078,11.426029,0.000000,-10.837664,-17.420593,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
173,2.883331,0,1,8.109580,11.137742,0.000000,-11.658298,-17.381029,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
